"","x"
"321","SPOCD1"
"322","PTP4A2"
"323","KHDRBS1"
"324","TMEM39B"
"325","KPNA6"
"326","TXLNA"
"327","CCDC28B"
"328","IQCC"
"329","DCDC2B"
"330","TMEM234"
"331","EIF3I"
"332","FAM167B"
"333","HDAC1"
"334","MARCKSL1"
"335","TSSK3"
"336","FAM229A"
"337","BSDC1"
"338","ZBTB8A"
"339","ZBTB8OS"
"340","RBBP4"
"341","SYNC"
"342","KIAA1522"
"343","YARS"
"344","S100PBP"
"345","FNDC5"
"346","HPCA"
"347","TMEM54"
"348","RNF19B"
"349","AK2"
"350","AZIN2"
"351","TRIM62"
"352","ZNF362"
"353","PHC2"
"354","ZSCAN20"
"355","CSMD2"
"356","C1orf94"
"357","SMIM12"
"358","GJB5"
"359","GJB3"
"360","DLGAP3"
"361","ZMYM6"
"362","ZMYM1"
"363","SFPQ"
"364","ZMYM4"
"365","KIAA0319L"
"366","NCDN"
"367","TFAP2E"
"368","PSMB2"
"369","C1orf216"
"370","CLSPN"
"371","AGO4"
"372","AGO1"
"373","AGO3"
"374","TEKT2"
"375","ADPRHL2"
"376","COL8A2"
"377","TRAPPC3"
"378","MAP7D1"
"379","THRAP3"
"380","SH3D21"
"381","STK40"
"382","LSM10"
"383","OSCP1"
"384","MRPS15"
"385","CSF3R"
"386","GRIK3"
"387","ZC3H12A"
"388","MEAF6"
"389","SNIP1"
"390","DNALI1"
"391","GNL2"
"392","C1orf109"
"393","CDCA8"
"394","EPHA10"
"395","MANEAL"
"396","YRDC"
"397","C1orf122"
"398","MTF1"
"399","INPP5B"
"400","SF3A3"
"401","FHL3"
"402","POU3F1"
"403","RRAGC"
"404","MYCBP"
"405","RHBDL2"
"406","AKIRIN1"
"407","NDUFS5"
"408","MACF1"
"409","BMP8A"
"410","PABPC4"
"411","HPCAL4"
"412","PPIE"
"413","BMP8B"
"414","TRIT1"
"415","MYCL"
"416","MFSD2A"
"417","CAP1"
"418","PPT1"
"419","RLF"
"420","TMCO2"
"421","ZMPSTE24"
"422","COL9A2"
"423","SMAP2"
"424","ZFP69B"
"425","ZFP69"
"426","EXO5"
"427","ZNF684"
"428","RIMS3"
"429","NFYC"
"430","KCNQ4"
"431","CITED4"
"432","CTPS1"
"433","SLFNL1"
"434","SCMH1"
"435","FOXO6"
"436","HIVEP3"
"437","FOXJ3"
"438","RIMKLA"
"439","ZMYND12"
"440","PPCS"
"441","CCDC30"
"442","PPIH"
"443","YBX1"
"444","CLDN19"
"445","P3H1"
"446","C1orf50"
"447","SVBP"
"448","ERMAP"
"449","ZNF691"
"450","SLC2A1"
"451","EBNA1BP2"
"452","CFAP57"
"453","TMEM125"
"454","TIE1"
"455","CDC20"
"456","ELOVL1"
"457","MED8"
"458","SZT2"
"459","HYI"
"460","PTPRF"
"461","KDM4A"
"462","ST3GAL3"
"463","ARTN"
"464","IPO13"
"465","DPH2"
"466","ATP6V0B"
"467","B4GALT2"
"468","CCDC24"
"469","SLC6A9"
"470","DMAP1"
"471","ERI3"
"472","RNF220"
"473","TMEM53"
"474","KIF2C"
"475","RPS8"
"476","BEST4"
"477","PLK3"
"478","BTBD19"
"479","PTCH2"
"480","EIF2B3"
"481","HECTD3"
"482","UROD"
"483","ZSWIM5"
"484","MUTYH"
"485","TOE1"
"486","TESK2"
"487","MMACHC"
"488","PRDX1"
"489","AKR1A1"
"490","NASP"
"491","CCDC17"
"492","GPBP1L1"
"493","TMEM69"
"494","IPP"
"495","MAST2"
"496","PIK3R3"
"497","TSPAN1"
"498","POMGNT1"
"499","LURAP1"
"500","RAD54L"
"501","LRRC41"
"502","UQCRH"
"503","NSUN4"
"504","FAAH"
"505","KNCN"
"506","MKNK1"
"507","ATPAF1"
"508","EFCAB14"
"509","CYP4A11"
"510","CYP4X1"
"511","CYP4Z1"
"512","CYP4A22"
"513","STIL"
"514","CMPK1"
"515","FOXE3"
"516","SPATA6"
"517","AGBL4"
"518","ELAVL4"
"519","DMRTA2"
"520","FAF1"
"521","CDKN2C"
"522","RNF11"
"523","TTC39A"
"524","EPS15"
"525","OSBPL9"
"526","NRDC"
"527","RAB3B"
"528","TXNDC12"
"529","BTF3L4"
"530","ZFYVE9"
"531","CC2D1B"
"532","ORC1"
"533","PRPF38A"
"534","GPX7"
"535","COA7"
"536","ZYG11B"
"537","ZYG11A"
"538","ECHDC2"
"539","SCP2"
"540","PODN"
"541","CPT2"
"542","MAGOH"
"543","LRP8"
"544","GLIS1"
"545","NDC1"
"546","YIPF1"
"547","HSPB11"
"548","LRRC42"
"549","LDLRAD1"
"550","TMEM59"
"551","TCEANC2"
"552","CDCP2"
"553","MRPL37"
"554","SSBP3"
"555","ACOT11"
"556","TTC4"
"557","PARS2"
"558","TTC22"
"559","DHCR24"
"560","TMEM61"
"561","BSND"
"562","PCSK9"
"563","USP24"
"564","PLPP3"
"565","PRKAA2"
"566","DAB1"
"567","TACSTD2"
"568","MYSM1"
"569","JUN"
"570","FGGY"
"571","HOOK1"
"572","CYP2J2"
"573","NFIA"
"574","TM2D1"
"575","L1TD1"
